name,description,category,price,inventory,status
Spring Launch Electronics Fitness Tracker,Dummy import product 3 for the Electronics category in the Spring Launch workbook.,Electronics,25.99,12,Active
Spring Launch Electronics Portable Charger,Dummy import product 4 for the Electronics category in the Spring Launch workbook.,Electronics,26.99,13,Active
Spring Launch Electronics LED Desk Lamp,Dummy import product 5 for the Electronics category in the Spring Launch workbook.,Electronics,27.99,14,Low Stock
Spring Launch Electronics Streaming Stick,Dummy import product 6 for the Electronics category in the Spring Launch workbook.,Electronics,28.99,15,Draft
Spring Launch Electronics Noise Cancel Headset,Dummy import product 7 for the Electronics category in the Spring Launch workbook.,Electronics,29.99,16,Active
Spring Launch Electronics Action Camera,Dummy import product 8 for the Electronics category in the Spring Launch workbook.,Electronics,30.99,17,Active
Spring Launch Electronics Wireless Keyboard,Dummy import product 9 for the Electronics category in the Spring Launch workbook.,Electronics,31.99,18,Low Stock
Spring Launch Electronics 4K Monitor,Dummy import product 10 for the Electronics category in the Spring Launch workbook.,Electronics,32.99,19,Draft
Spring Launch Accessories Travel Backpack,Dummy import product 1 for the Accessories category in the Spring Launch workbook.,Accessories,23.99,10,Low Stock
Spring Launch Accessories Insulated Bottle,Dummy import product 2 for the Accessories category in the Spring Launch workbook.,Accessories,24.99,11,Draft
Spring Launch Accessories Weekend Tote,Dummy import product 3 for the Accessories category in the Spring Launch workbook.,Accessories,25.99,12,Active
Spring Launch Accessories Phone Wallet,Dummy import product 4 for the Accessories category in the Spring Launch workbook.,Accessories,26.99,13,Active
Spring Launch Accessories Polarized Sunglasses,Dummy import product 5 for the Accessories category in the Spring Launch workbook.,Accessories,27.99,14,Low Stock
Spring Launch Accessories Canvas Belt,Dummy import product 6 for the Accessories category in the Spring Launch workbook.,Accessories,28.99,15,Draft
Spring Launch Accessories Laptop Sleeve,Dummy import product 7 for the Accessories category in the Spring Launch workbook.,Accessories,29.99,16,Active
Spring Launch Accessories Packing Cubes,Dummy import product 8 for the Accessories category in the Spring Launch workbook.,Accessories,30.99,17,Active
Spring Launch Accessories Compact Umbrella,Dummy import product 9 for the Accessories category in the Spring Launch workbook.,Accessories,31.99,18,Low Stock
Spring Launch Accessories Baseball Cap,Dummy import product 10 for the Accessories category in the Spring Launch workbook.,Accessories,32.99,19,Draft
Spring Launch Fitness Yoga Mat,Dummy import product 1 for the Fitness category in the Spring Launch workbook.,Fitness,23.99,10,Low Stock
Spring Launch Fitness Resistance Band Set,Dummy import product 2 for the Fitness category in the Spring Launch workbook.,Fitness,24.99,11,Draft
Spring Launch Fitness Foam Roller,Dummy import product 3 for the Fitness category in the Spring Launch workbook.,Fitness,25.99,12,Active
Spring Launch Fitness Adjustable Dumbbell,Dummy import product 4 for the Fitness category in the Spring Launch workbook.,Fitness,26.99,13,Active
Spring Launch Fitness Recovery Ball,Dummy import product 5 for the Fitness category in the Spring Launch workbook.,Fitness,27.99,14,Low Stock
Spring Launch Fitness Jump Rope,Dummy import product 6 for the Fitness category in the Spring Launch workbook.,Fitness,28.99,15,Draft
Spring Launch Fitness Core Slider,Dummy import product 7 for the Fitness category in the Spring Launch workbook.,Fitness,29.99,16,Active
Spring Launch Fitness Exercise Bike Mat,Dummy import product 8 for the Fitness category in the Spring Launch workbook.,Fitness,30.99,17,Active
Spring Launch Fitness Hydration Vest,Dummy import product 9 for the Fitness category in the Spring Launch workbook.,Fitness,31.99,18,Low Stock
Spring Launch Fitness Mini Stepper,Dummy import product 10 for the Fitness category in the Spring Launch workbook.,Fitness,32.99,19,Draft
