name,description,category,price,inventory,status
Summer Savings Electronics Smart Speaker,Dummy import product 2 for the Electronics category in the Summer Savings workbook.,Electronics,27.99,12,Active
Summer Savings Electronics Fitness Tracker,Dummy import product 3 for the Electronics category in the Summer Savings workbook.,Electronics,28.99,13,Active
Summer Savings Electronics Portable Charger,Dummy import product 4 for the Electronics category in the Summer Savings workbook.,Electronics,29.99,14,Low Stock
Summer Savings Electronics LED Desk Lamp,Dummy import product 5 for the Electronics category in the Summer Savings workbook.,Electronics,30.99,15,Draft
Summer Savings Electronics Streaming Stick,Dummy import product 6 for the Electronics category in the Summer Savings workbook.,Electronics,31.99,16,Active
Summer Savings Electronics Noise Cancel Headset,Dummy import product 7 for the Electronics category in the Summer Savings workbook.,Electronics,32.99,17,Active
Summer Savings Electronics Action Camera,Dummy import product 8 for the Electronics category in the Summer Savings workbook.,Electronics,33.99,18,Low Stock
Summer Savings Electronics Wireless Keyboard,Dummy import product 9 for the Electronics category in the Summer Savings workbook.,Electronics,34.99,19,Draft
Summer Savings Electronics 4K Monitor,Dummy import product 10 for the Electronics category in the Summer Savings workbook.,Electronics,35.99,20,Active
Summer Savings Accessories Travel Backpack,Dummy import product 1 for the Accessories category in the Summer Savings workbook.,Accessories,26.99,11,Draft
Summer Savings Accessories Insulated Bottle,Dummy import product 2 for the Accessories category in the Summer Savings workbook.,Accessories,27.99,12,Active
Summer Savings Accessories Weekend Tote,Dummy import product 3 for the Accessories category in the Summer Savings workbook.,Accessories,28.99,13,Active
Summer Savings Accessories Phone Wallet,Dummy import product 4 for the Accessories category in the Summer Savings workbook.,Accessories,29.99,14,Low Stock
Summer Savings Accessories Polarized Sunglasses,Dummy import product 5 for the Accessories category in the Summer Savings workbook.,Accessories,30.99,15,Draft
Summer Savings Accessories Canvas Belt,Dummy import product 6 for the Accessories category in the Summer Savings workbook.,Accessories,31.99,16,Active
Summer Savings Accessories Laptop Sleeve,Dummy import product 7 for the Accessories category in the Summer Savings workbook.,Accessories,32.99,17,Active
Summer Savings Accessories Packing Cubes,Dummy import product 8 for the Accessories category in the Summer Savings workbook.,Accessories,33.99,18,Low Stock
Summer Savings Accessories Compact Umbrella,Dummy import product 9 for the Accessories category in the Summer Savings workbook.,Accessories,34.99,19,Draft
Summer Savings Accessories Baseball Cap,Dummy import product 10 for the Accessories category in the Summer Savings workbook.,Accessories,35.99,20,Active
Summer Savings Fitness Yoga Mat,Dummy import product 1 for the Fitness category in the Summer Savings workbook.,Fitness,26.99,11,Draft
Summer Savings Fitness Resistance Band Set,Dummy import product 2 for the Fitness category in the Summer Savings workbook.,Fitness,27.99,12,Active
Summer Savings Fitness Foam Roller,Dummy import product 3 for the Fitness category in the Summer Savings workbook.,Fitness,28.99,13,Active
Summer Savings Fitness Adjustable Dumbbell,Dummy import product 4 for the Fitness category in the Summer Savings workbook.,Fitness,29.99,14,Low Stock
Summer Savings Fitness Recovery Ball,Dummy import product 5 for the Fitness category in the Summer Savings workbook.,Fitness,30.99,15,Draft
Summer Savings Fitness Jump Rope,Dummy import product 6 for the Fitness category in the Summer Savings workbook.,Fitness,31.99,16,Active
Summer Savings Fitness Core Slider,Dummy import product 7 for the Fitness category in the Summer Savings workbook.,Fitness,32.99,17,Active
Summer Savings Fitness Exercise Bike Mat,Dummy import product 8 for the Fitness category in the Summer Savings workbook.,Fitness,33.99,18,Low Stock
Summer Savings Fitness Hydration Vest,Dummy import product 9 for the Fitness category in the Summer Savings workbook.,Fitness,34.99,19,Draft
Summer Savings Fitness Mini Stepper,Dummy import product 10 for the Fitness category in the Summer Savings workbook.,Fitness,35.99,20,Active
