name,description,category,price,inventory,status
Storefront QA Accessories Travel Backpack,Dummy import product 1 for the Accessories category in the Storefront QA workbook.,Accessories,38.99,15,Draft
Storefront QA Accessories Insulated Bottle,Dummy import product 2 for the Accessories category in the Storefront QA workbook.,Accessories,39.99,16,Active
Storefront QA Accessories Weekend Tote,Dummy import product 3 for the Accessories category in the Storefront QA workbook.,Accessories,40.99,17,Active
Storefront QA Accessories Phone Wallet,Dummy import product 4 for the Accessories category in the Storefront QA workbook.,Accessories,41.99,18,Low Stock
Storefront QA Accessories Polarized Sunglasses,Dummy import product 5 for the Accessories category in the Storefront QA workbook.,Accessories,42.99,19,Draft
Storefront QA Accessories Canvas Belt,Dummy import product 6 for the Accessories category in the Storefront QA workbook.,Accessories,43.99,20,Active
Storefront QA Accessories Laptop Sleeve,Dummy import product 7 for the Accessories category in the Storefront QA workbook.,Accessories,44.99,21,Active
Storefront QA Accessories Packing Cubes,Dummy import product 8 for the Accessories category in the Storefront QA workbook.,Accessories,45.99,22,Low Stock
Storefront QA Accessories Compact Umbrella,Dummy import product 9 for the Accessories category in the Storefront QA workbook.,Accessories,46.99,23,Draft
Storefront QA Accessories Baseball Cap,Dummy import product 10 for the Accessories category in the Storefront QA workbook.,Accessories,47.99,24,Active
Storefront QA Fitness Yoga Mat,Dummy import product 1 for the Fitness category in the Storefront QA workbook.,Fitness,38.99,15,Draft
Storefront QA Fitness Resistance Band Set,Dummy import product 2 for the Fitness category in the Storefront QA workbook.,Fitness,39.99,16,Active
Storefront QA Fitness Foam Roller,Dummy import product 3 for the Fitness category in the Storefront QA workbook.,Fitness,40.99,17,Active
Storefront QA Fitness Adjustable Dumbbell,Dummy import product 4 for the Fitness category in the Storefront QA workbook.,Fitness,41.99,18,Low Stock
Storefront QA Fitness Recovery Ball,Dummy import product 5 for the Fitness category in the Storefront QA workbook.,Fitness,42.99,19,Draft
Storefront QA Fitness Jump Rope,Dummy import product 6 for the Fitness category in the Storefront QA workbook.,Fitness,43.99,20,Active
Storefront QA Fitness Core Slider,Dummy import product 7 for the Fitness category in the Storefront QA workbook.,Fitness,44.99,21,Active
Storefront QA Fitness Exercise Bike Mat,Dummy import product 8 for the Fitness category in the Storefront QA workbook.,Fitness,45.99,22,Low Stock
Storefront QA Fitness Hydration Vest,Dummy import product 9 for the Fitness category in the Storefront QA workbook.,Fitness,46.99,23,Draft
Storefront QA Fitness Mini Stepper,Dummy import product 10 for the Fitness category in the Storefront QA workbook.,Fitness,47.99,24,Active
